# METADATA:
# 000AA: Castels
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
000AA;2022-11-19 13:00:00;11;1013.5;80;7.7;4.8;;350;0;0
000AA;2022-11-19 13:30:00;11.4;1013.7;79;7.9;6.4;;297;;
000AA;2022-11-19 14:00:00;11.2;1013.7;77;7.3;6.4;;284;0;0
000AA;2022-11-19 14:30:00;11.3;1013.8;78;7.6;4.8;;318;;
000AA;2022-11-19 15:00:00;10.7;1013.9;79;7.2;3.2;;304;0;0
000AA;2022-11-19 15:30:00;10.5;1014.2;80;7.2;3.2;;296;;
000AA;2022-11-19 16:00:00;9.9;1014.3;81;6.8;3.2;;294;0;0
000AA;2022-11-19 16:30:00;9.4;1014.4;82;6.5;4.8;;322;;
000AA;2022-11-19 17:00:00;8.6;1014.9;85;6.2;1.6;;269;0;0
000AA;2022-11-19 17:30:00;8.3;1015.1;86;6.1;1.6;;312;;
000AA;2022-11-19 18:00:00;7.6;1015.5;87;5.6;0;;317;0;0
000AA;2022-11-19 18:30:00;7.2;1015.8;89;5.5;1.6;;276;;
000AA;2022-11-19 19:00:00;6.6;1016.2;91;5.2;1.6;;275;0;0
000AA;2022-11-19 19:30:00;6.5;1016.4;93;5.4;0;;284;;
000AA;2022-11-19 20:00:00;5.9;1016.6;94;5;1.6;;284;0;0
000AA;2022-11-19 20:30:00;5.4;1016.6;95;4.7;1.6;;284;;
000AA;2022-11-19 21:00:00;5.2;1017.1;96;4.6;1.6;;284;0;0
000AA;2022-11-19 21:30:00;5;1017.2;96;4.4;1.6;;279;;
000AA;2022-11-19 22:00:00;4.9;1017.2;96;4.4;0;;279;0;0
000AA;2022-11-19 22:30:00;4.7;1017.2;97;4.3;1.6;;279;;
000AA;2022-11-19 23:00:00;4.7;1017.1;97;4.2;0;;279;0;0
000AA;2022-11-19 23:30:00;4.4;1017.1;97;4;0;;279;;
000AA;2022-11-20 00:00:00;3.3;1017.4;95;2.6;0;;279;0;0
000AA;2022-11-20 00:30:00;3.1;1017.5;97;2.7;0;;279;;
000AA;2022-11-20 01:00:00;2.4;1017.4;96;1.8;0;;279;0;0
000AA;2022-11-20 01:30:00;1.7;1017.5;96;1.2;0;;280;;
000AA;2022-11-20 02:00:00;1.3;1017.6;97;0.9;0;;280;0;0
000AA;2022-11-20 02:30:00;1.1;1017.6;97;0.6;1.6;;279;;
